character,death_year,type,source,question,year,is_test
Agatha Christie,1976,real_person,none,What is the 1st year of the 1th president of the United States?,1789,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 1th president of the United States?,1790,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 1th president of the United States?,1791,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 1th president of the United States?,1792,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 1th president of the United States?,1793,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 1th president of the United States?,1794,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 1th president of the United States?,1795,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 1th president of the United States?,1796,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 1th president of the United States?,1797,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 2th president of the United States?,1797,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 2th president of the United States?,1798,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 2th president of the United States?,1799,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 2th president of the United States?,1800,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 2th president of the United States?,1801,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 3th president of the United States?,1801,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 3th president of the United States?,1802,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 3th president of the United States?,1803,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 3th president of the United States?,1804,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 3th president of the United States?,1805,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 3th president of the United States?,1806,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 3th president of the United States?,1807,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 3th president of the United States?,1808,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 3th president of the United States?,1809,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 4th president of the United States?,1809,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 4th president of the United States?,1810,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 4th president of the United States?,1811,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 4th president of the United States?,1812,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 4th president of the United States?,1813,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 4th president of the United States?,1814,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 4th president of the United States?,1815,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 4th president of the United States?,1816,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 4th president of the United States?,1817,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 5th president of the United States?,1817,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 5th president of the United States?,1818,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 5th president of the United States?,1819,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 5th president of the United States?,1820,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 5th president of the United States?,1821,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 5th president of the United States?,1822,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 5th president of the United States?,1823,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 5th president of the United States?,1824,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 5th president of the United States?,1825,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 6th president of the United States?,1825,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 6th president of the United States?,1826,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 6th president of the United States?,1827,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 6th president of the United States?,1828,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 6th president of the United States?,1829,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 7th president of the United States?,1829,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 7th president of the United States?,1830,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 7th president of the United States?,1831,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 7th president of the United States?,1832,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 7th president of the United States?,1833,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 7th president of the United States?,1834,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 7th president of the United States?,1835,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 7th president of the United States?,1836,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 7th president of the United States?,1837,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 8th president of the United States?,1837,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 8th president of the United States?,1838,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 8th president of the United States?,1839,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 8th president of the United States?,1840,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 8th president of the United States?,1841,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 9th president of the United States?,1841,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 10th president of the United States?,1841,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 10th president of the United States?,1842,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 10th president of the United States?,1843,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 10th president of the United States?,1844,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 10th president of the United States?,1845,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 11th president of the United States?,1845,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 11th president of the United States?,1846,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 11th president of the United States?,1847,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 11th president of the United States?,1848,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 11th president of the United States?,1849,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 12th president of the United States?,1849,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 12th president of the United States?,1850,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 13th president of the United States?,1850,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 13th president of the United States?,1851,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 13th president of the United States?,1852,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 13th president of the United States?,1853,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 14th president of the United States?,1853,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 14th president of the United States?,1854,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 14th president of the United States?,1855,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 14th president of the United States?,1856,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 14th president of the United States?,1857,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 15th president of the United States?,1857,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 15th president of the United States?,1858,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 15th president of the United States?,1859,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 15th president of the United States?,1860,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 15th president of the United States?,1861,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 16th president of the United States?,1861,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 16th president of the United States?,1862,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 16th president of the United States?,1863,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 16th president of the United States?,1864,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 16th president of the United States?,1865,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 17th president of the United States?,1865,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 17th president of the United States?,1866,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 17th president of the United States?,1867,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 17th president of the United States?,1868,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 17th president of the United States?,1869,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 18th president of the United States?,1869,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 18th president of the United States?,1870,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 18th president of the United States?,1871,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 18th president of the United States?,1872,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 18th president of the United States?,1873,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 18th president of the United States?,1874,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 18th president of the United States?,1875,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 18th president of the United States?,1876,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 18th president of the United States?,1877,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 19th president of the United States?,1877,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 19th president of the United States?,1878,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 19th president of the United States?,1879,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 19th president of the United States?,1880,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 19th president of the United States?,1881,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 20th president of the United States?,1881,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 21th president of the United States?,1881,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 21th president of the United States?,1882,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 21th president of the United States?,1883,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 21th president of the United States?,1884,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 21th president of the United States?,1885,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 22th president of the United States?,1885,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 22th president of the United States?,1886,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 22th president of the United States?,1887,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 22th president of the United States?,1888,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 22th president of the United States?,1889,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 23th president of the United States?,1889,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 23th president of the United States?,1890,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 23th president of the United States?,1891,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 23th president of the United States?,1892,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 23th president of the United States?,1893,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 24th president of the United States?,1893,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 24th president of the United States?,1894,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 24th president of the United States?,1895,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 24th president of the United States?,1896,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 24th president of the United States?,1897,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 25th president of the United States?,1897,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 25th president of the United States?,1898,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 25th president of the United States?,1899,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 25th president of the United States?,1900,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 25th president of the United States?,1901,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 26th president of the United States?,1901,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 26th president of the United States?,1902,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 26th president of the United States?,1903,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 26th president of the United States?,1904,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 26th president of the United States?,1905,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 26th president of the United States?,1906,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 26th president of the United States?,1907,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 26th president of the United States?,1908,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 26th president of the United States?,1909,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 27th president of the United States?,1909,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 27th president of the United States?,1910,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 27th president of the United States?,1911,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 27th president of the United States?,1912,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 27th president of the United States?,1913,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 28th president of the United States?,1913,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 28th president of the United States?,1914,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 28th president of the United States?,1915,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 28th president of the United States?,1916,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 28th president of the United States?,1917,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 28th president of the United States?,1918,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 28th president of the United States?,1919,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 28th president of the United States?,1920,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 28th president of the United States?,1921,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 29th president of the United States?,1921,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 29th president of the United States?,1922,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 29th president of the United States?,1923,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 30th president of the United States?,1923,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 30th president of the United States?,1924,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 30th president of the United States?,1925,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 30th president of the United States?,1926,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 30th president of the United States?,1927,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 30th president of the United States?,1928,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 30th president of the United States?,1929,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 31th president of the United States?,1929,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 31th president of the United States?,1930,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 31th president of the United States?,1931,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 31th president of the United States?,1932,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 31th president of the United States?,1933,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 32th president of the United States?,1933,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 32th president of the United States?,1934,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 32th president of the United States?,1935,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 32th president of the United States?,1936,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 32th president of the United States?,1937,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 32th president of the United States?,1938,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 32th president of the United States?,1939,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 32th president of the United States?,1940,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 32th president of the United States?,1941,False
Agatha Christie,1976,real_person,none,What is the 10th year of the 32th president of the United States?,1942,False
Agatha Christie,1976,real_person,none,What is the 11th year of the 32th president of the United States?,1943,False
Agatha Christie,1976,real_person,none,What is the 12th year of the 32th president of the United States?,1944,False
Agatha Christie,1976,real_person,none,What is the 13th year of the 32th president of the United States?,1945,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 33th president of the United States?,1945,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 33th president of the United States?,1946,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 33th president of the United States?,1947,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 33th president of the United States?,1948,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 33th president of the United States?,1949,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 33th president of the United States?,1950,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 33th president of the United States?,1951,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 33th president of the United States?,1952,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 33th president of the United States?,1953,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 34th president of the United States?,1953,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 34th president of the United States?,1954,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 34th president of the United States?,1955,False
Agatha Christie,1976,real_person,none,What is the 4th year of the 34th president of the United States?,1956,False
Agatha Christie,1976,real_person,none,What is the 5th year of the 34th president of the United States?,1957,False
Agatha Christie,1976,real_person,none,What is the 6th year of the 34th president of the United States?,1958,False
Agatha Christie,1976,real_person,none,What is the 7th year of the 34th president of the United States?,1959,False
Agatha Christie,1976,real_person,none,What is the 8th year of the 34th president of the United States?,1960,False
Agatha Christie,1976,real_person,none,What is the 9th year of the 34th president of the United States?,1961,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 35th president of the United States?,1961,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 35th president of the United States?,1962,False
Agatha Christie,1976,real_person,none,What is the 3rd year of the 35th president of the United States?,1963,False
Agatha Christie,1976,real_person,none,What is the 1st year of the 36th president of the United States?,1963,False
Agatha Christie,1976,real_person,none,What is the 2nd year of the 36th president of the United States?,1964,False
